,id,time,pstime,mag,lat,lon,depth
0,86,14324.475546031748,4.85,3.411547531236038,33.79890061446369,-116.6129,0
1,126,14343.906623082015,5.5,3.2482017981038207,33.831948894903235,-116.6129,0
2,133,14350.746900529097,4.86,3.5728227529824474,33.79940914830557,-116.6129,0
3,265,14414.646270568785,4.01,3.615122381404724,33.756172770676116,-116.6129,0
4,7,14620.98187051918,6.77,3.1450733862934364,33.89648245067951,-116.6129,0
5,193,14763.364047685185,2.66,3.2664979420384457,33.68745757051642,-116.6129,0
6,205,14768.373855787038,4.41,3.1133982403001683,33.776522073466516,-116.6129,0
7,246,14775.683161276458,3.61,3.2484730067360346,33.735818545881024,-116.6129,0
8,250,14776.57396388889,3.92,3.520188718531988,33.75159349902115,-116.6129,0
9,260,14778.635188773147,3.92,3.8180578080488896,33.75159349902115,-116.6129,0
10,311,14798.10736263228,3.07,3.040347856119182,33.70833254548653,-116.6129,0
11,373,14798.682537797615,4.16,3.114342081136132,33.76380433634186,-116.6129,0
12,453,14802.243396048276,3.02,3.296917268858879,33.70578709277432,-116.6129,0
13,570,14827.735798098542,6.26,3.5247644704593117,33.87057340193823,-116.6129,0
14,578,14832.866213905429,3.91,3.8045511468594793,33.75108467568119,-116.6129,0
15,694,14888.748707109791,5.85,4.021709241545305,33.8497387165675,-116.6129,0
16,753,14932.03953123346,3.93,4.149285120703727,33.752102319285704,-116.6129,0
17,802,14966.152505968912,3.81,3.4683632304776117,33.745996273154645,-116.6129,0
18,56,15017.72967976191,4.19,3.9751365817843793,33.76533056638838,-116.6129,0
19,145,15062.446829910717,4.66,3.3808642182188797,33.78923788559089,-116.6129,0
20,64,15128.239863310186,2.8,3.330383473890209,33.69458619010036,-116.6129,0
21,93,15139.351170039687,3.49,3.3420400408415984,33.729711319547235,-116.6129,0
22,159,15170.502232159388,5.26,3.206756673143421,33.81974797191805,-116.6129,0
23,313,15252.76399150132,5.7,3.04276739427999,33.84211497107651,-116.6129,0
24,371,15297.855815294315,6.15,4.207311409572323,33.864984119101635,-116.6129,0
25,496,15384.545494576725,6.08,3.1559749785898377,33.861427107673066,-116.6129,0
26,601,15452.679570006609,4.21,3.780098924172573,33.76634803769652,-116.6129,0
27,609,15454.822344460985,4.19,3.172033519753631,33.76533056638838,-116.6129,0
28,658,15478.442510515868,4.28,4.056332889240267,33.76990909030911,-116.6129,0
29,666,15481.26387660383,2.81,3.0547789682350843,33.69509535422948,-116.6129,0
30,718,15507.498448578044,4.22,3.177330248989444,33.76685676873345,-116.6129,0
31,832,15578.411984242719,6.45,3.135167993331184,33.88022673491998,-116.6129,0
32,931,15641.32434699074,4.13,3.967564534382245,33.76227807859644,-116.6129,0
