,id,time,pstime,mag,lat,lon,depth
78,151,17950.3624271164,6.98,3.070197719932634,33.90714853796734,-116.6129,0
79,159,17953.582143386237,4.56,3.0025540043500647,33.78415179183492,-116.6129,0
80,233,18009.702018948414,4.15,3.057096406564428,33.76329558683759,-116.6129,0
81,284,18051.190320965616,6.43,3.627241050946464,33.87921064728091,-116.6129,0
82,295,18060.52675441469,6.01,3.187012949272998,33.85786994455563,-116.6129,0
83,371,18096.03992974537,5.67,3.3695976745720944,33.84059013848105,-116.6129,0
84,379,18097.76038129961,5.78,3.1965005465183345,33.84618105527111,-116.6129,0
85,472,18143.013050975533,6.62,3.0839260783274285,33.88886297925874,-116.6129,0
86,505,18159.40815039683,4.17,3.4559573111962605,33.76431308276848,-116.6129,0
87,575,18210.92223123346,6.66,3.3378813591333807,33.890894906534584,-116.6129,0
88,594,18220.279440426588,2.57,3.473032305997239,33.682874569395935,-116.6129,0
89,58,18294.04155697751,3.27,4.035961442998834,33.71851358935321,-116.6129,0
90,123,18357.94258249008,2.61,3.5843123834070347,33.68491148941481,-116.6129,0
91,168,18360.04183227513,2.39,3.167663639886682,33.67370782296385,-116.6129,0
92,360,18450.1069713955,4.63,3.569379019100673,33.78771208982446,-116.6129,0
