,id,time,pstime,mag,amp,p_prob,s_prob,mod_amp,amp_time1,p_time,s_time
27,27,2015-01-28T08:01:45.710000Z,4.06,1.7176777095943687,16138.999999999998,0.942567,0.77667487,0.4146462190219159,2015-01-28T08:01:54.970000Z,2015-01-28T08:01:50.350000Z,2015-01-28T08:01:54.410000Z
28,28,2015-01-28T18:07:32.962857Z,1.73,0.2087550510966458,1032.0,0.74045503,0.5330959,0.0511393320326233,2015-01-28T18:07:37.210000Z,2015-01-28T18:07:34.940000Z,2015-01-28T18:07:36.670000Z
29,29,2015-01-28T21:33:29.840000Z,1.54,0.1587118030787593,2147.0,0.79607964,0.632884,0.0455734391184233,2015-01-28T21:33:33.250000Z,2015-01-28T21:33:31.600000Z,2015-01-28T21:33:33.140000Z
30,30,2015-01-29T01:05:06.137143Z,1.98,0.9883076594338048,14502.0,0.80975807,0.87454,0.3078276730765601,2015-01-29T01:05:10.540000Z,2015-01-29T01:05:08.400000Z,2015-01-29T01:05:10.380000Z
31,31,2015-01-29T02:28:54.160000Z,2.59,0.2910728595618579,1518.0,0.74434054,0.7429763,0.0390007410914721,2015-01-29T02:29:00.050000Z,2015-01-29T02:28:57.120000Z,2015-01-29T02:28:59.710000Z
32,32,2015-01-30T22:56:51.308571Z,1.55,1.104703762461459,15664.0,0.86714566,0.5167289,0.4024424298134513,2015-01-30T22:56:54.860000Z,2015-01-30T22:56:53.080000Z,2015-01-30T22:56:54.630000Z
33,33,2015-01-31T10:40:23.337143Z,3.45,1.471811169869198,16850.0,0.816423,0.6770075,0.5913044805977035,2015-01-31T10:40:31.050000Z,2015-01-31T10:40:27.280000Z,2015-01-31T10:40:30.730000Z
34,34,2015-02-02T23:10:10.997143Z,1.63,0.301316064337676,2084.0,0.89389634,0.6037127,0.0632872266124256,2015-02-02T23:10:14.660000Z,2015-02-02T23:10:12.860000Z,2015-02-02T23:10:14.490000Z
35,35,2015-02-03T01:08:00.904286Z,4.45,1.1067382976527291,1488.0,0.88941205,0.7765802,0.101563649408752,2015-02-03T01:08:10.800000Z,2015-02-03T01:08:05.990000Z,2015-02-03T01:08:10.440000Z
36,36,2015-02-03T18:56:20.040000Z,3.71,1.2915684730437311,5369.0,0.8972324,0.6897135,0.3904527383897402,2015-02-03T18:56:28.460000Z,2015-02-03T18:56:24.280000Z,2015-02-03T18:56:27.990000Z
37,37,2015-02-04T09:53:40.715714Z,1.99,0.881416211297462,11338.0,0.82372385,0.795573,0.2406668154283574,2015-02-04T09:53:45.110000Z,2015-02-04T09:53:42.990000Z,2015-02-04T09:53:44.980000Z
38,38,2015-02-06T20:28:36.675714Z,1.92,2.083015169387824,180358.0,0.9329231,0.8924133,3.828381151616483,2015-02-06T20:28:41.320000Z,2015-02-06T20:28:38.870000Z,2015-02-06T20:28:40.790000Z
39,39,2015-02-06T20:58:43.182857Z,1.87,1.1296650947882094,20081.0,0.75630957,0.86428905,0.4262506897704045,2015-02-06T20:58:47.700000Z,2015-02-06T20:58:45.320000Z,2015-02-06T20:58:47.190000Z
40,40,2015-02-07T17:30:31.062857Z,2.57,1.3321666241186365,20197.0,0.7512824,0.8812609,0.4287129715299466,2015-02-07T17:30:36.910000Z,2015-02-07T17:30:34.000000Z,2015-02-07T17:30:36.570000Z
41,41,2015-02-09T03:50:14.117143Z,1.35,1.0226134069157218,15694.0,0.94861084,0.9329929,0.3331297408125456,2015-02-09T03:50:17.250000Z,2015-02-09T03:50:15.660000Z,2015-02-09T03:50:17.010000Z
42,42,2015-02-10T23:59:24.988571Z,2.53,0.5737924018237532,3523.0,0.7389684,0.50735635,0.074781195162648,2015-02-10T23:59:30.700000Z,2015-02-10T23:59:27.880000Z,2015-02-10T23:59:30.410000Z
43,43,2015-02-11T12:03:25.891429Z,3.56,0.7596803032960039,3778.0,0.7245519,0.7070576,0.1147308743482457,2015-02-11T12:03:33.750000Z,2015-02-11T12:03:29.960000Z,2015-02-11T12:03:33.520000Z
44,44,2015-02-11T12:59:44.884286Z,6.06,1.0099471713455035,822.0,0.9211452,0.8275501,0.0407330726073802,2015-02-11T12:59:58.120000Z,2015-02-11T12:59:51.810000Z,2015-02-11T12:59:57.870000Z
45,45,2015-02-11T13:19:05.818571Z,5.89,1.136941658024697,1555.0,0.92918605,0.5180148,0.0545684550343874,2015-02-11T13:19:18.920000Z,2015-02-11T13:19:12.550000Z,2015-02-11T13:19:18.440000Z
46,46,2015-02-11T19:57:53.707143Z,3.52,1.6651339856994436,26298.0,0.8781183,0.5945827,0.9228560967809142,2015-02-11T19:58:01.520000Z,2015-02-11T19:57:57.730000Z,2015-02-11T19:58:01.250000Z
47,47,2015-02-11T21:19:10.790000Z,4.9,1.2930569586516023,9281.0,0.9350717,0.50831676,0.1559757054891839,2015-02-11T21:19:16.920000Z,2015-02-11T21:19:16.390000Z,2015-02-11T21:19:21.290000Z
48,48,2015-02-11T22:40:12.954286Z,3.54,1.6058614697815898,22943.0,0.77781403,0.8177578,0.8051215844719948,2015-02-11T22:40:20.810000Z,2015-02-11T22:40:17.000000Z,2015-02-11T22:40:20.540000Z
49,49,2015-02-15T00:55:44.677143Z,5.34,1.201765578434809,1166.0,0.77166426,0.6833465,0.0633527656177068,2015-02-15T00:55:56.709997Z,2015-02-15T00:55:50.780000Z,2015-02-15T00:55:56.120000Z
50,50,2015-02-15T03:03:06.911429Z,3.56,1.1531370534303784,9348.0,0.92095387,0.7707535,0.2838814752269458,2015-02-15T03:03:14.790000Z,2015-02-15T03:03:10.980000Z,2015-02-15T03:03:14.540000Z
51,51,2015-02-15T03:08:15.462857Z,3.55,1.7136915220194533,29409.0,0.9296194,0.84093606,1.0320280991037305,2015-02-15T03:08:23.360000Z,2015-02-15T03:08:19.520000Z,2015-02-15T03:08:23.070000Z
52,52,2015-02-15T19:43:43.825714Z,6.19,1.039994466871442,1699.0,0.717667,0.60063004,0.0436510270845923,2015-02-15T19:43:58.030000Z,2015-02-15T19:43:50.900000Z,2015-02-15T19:43:57.090000Z
53,53,2015-02-17T09:16:41.084286Z,2.14,0.2421297450787556,3286.0,0.754034,0.6758163,0.0552242396549357,2015-02-17T09:16:46.150000Z,2015-02-17T09:16:43.530000Z,2015-02-17T09:16:45.670000Z
54,54,2015-02-17T12:45:29.995714Z,4.09,1.127477934404192,3508.0,0.8962927,0.87864757,0.1065314735875188,2015-02-17T12:45:38.970000Z,2015-02-17T12:45:34.670000Z,2015-02-17T12:45:38.760000Z
55,55,2015-02-17T13:07:46.560000Z,3.01,0.7641439457720065,1963.0,0.87776625,0.61512554,0.1159161493541199,2015-02-17T13:07:53.270000Z,2015-02-17T13:07:50.000000Z,2015-02-17T13:07:53.010000Z
56,56,2015-02-18T08:45:41.291429Z,2.23,0.1517792556948241,2113.0,0.90273917,0.89274657,0.0448517358440747,2015-02-18T08:45:46.240000Z,2015-02-18T08:45:43.840000Z,2015-02-18T08:45:46.070000Z
