,id,time,pstime,mag
80,215,2015-05-02T14:17:19.514286Z,5.43,1.509372633248447
81,216,2015-05-03T07:13:58.488571Z,4.07,1.3575112615181335
82,217,2015-05-03T08:19:10.441429Z,2.79,1.8512105089539763
83,218,2015-05-04T08:55:38.518571Z,2.81,1.0331853944980645
84,221,2015-05-06T08:42:20.035714Z,6.05,1.226244631909568
85,222,2015-05-07T19:53:58.617143Z,4.71,1.1652395769606645
86,223,2015-05-08T15:13:26.674286Z,4.31,1.6832005905089544
87,224,2015-05-10T08:51:48.408571Z,6.94,1.510712917240515
88,226,2015-05-10T14:48:14.152857Z,2.43,1.1301289430365182
89,231,2015-05-12T09:41:44.734286Z,6.62,1.7884531440926434
90,233,2015-05-13T04:25:45.504286Z,6.48,1.3305827078252872
91,238,2015-05-15T09:41:50.661429Z,3.7,1.4017796003459675
92,240,2015-05-18T00:09:48.271429Z,6.36,1.700588672497815
93,242,2015-05-18T10:36:04.744286Z,6.27,1.126757677031932
94,244,2015-05-19T04:07:21.830000Z,6.16,1.1327080087221406
95,245,2015-05-20T07:14:10.625714Z,4.16,1.2917366574355715
96,246,2015-05-20T07:18:22.232857Z,4.04,1.0180994162032424
97,249,2015-05-22T13:02:46.601429Z,2.51,1.0203653667461383
98,252,2015-05-26T04:39:00.707143Z,2.75,1.154631100101591
99,253,2015-05-26T06:49:30.157143Z,3.03,1.5562481589092894
100,255,2015-05-28T09:47:07.571429Z,6.15,1.1651132204132082
101,257,2015-05-28T12:18:08.214286Z,6.27,1.2253192925759024
102,258,2015-05-28T22:43:17.354286Z,5.85,1.3863268672014917
103,260,2015-05-30T00:14:36.102857Z,5.86,1.1450814998968315
104,261,2015-05-30T05:23:58.357143Z,6.95,3.541681691186069
105,264,2015-05-30T13:06:27.120000Z,5.39,1.1802475093679978
106,266,2015-05-31T13:02:57.568571Z,5.4,3.931847063442258
107,268,2015-05-31T15:44:54.490000Z,5.25,1.6011690844498545
108,269,2015-05-31T16:32:57.248571Z,6.38,1.320361226148992
109,270,2015-05-31T18:01:20.230000Z,6.16,1.7453442382456124
110,271,2015-06-01T06:12:12.155714Z,6.19,1.1798921497639658
111,273,2015-06-03T16:16:24.761429Z,3.77,1.2594355801796275
112,274,2015-06-03T18:25:31.091429Z,2.79,1.1242970768146237
113,275,2015-06-03T23:01:04.235714Z,3.81,1.1354513659126293
114,277,2015-06-04T04:17:00.392857Z,3.76,1.2955187877937773
115,278,2015-06-04T08:45:36.170000Z,5.88,1.7435329480879758
116,279,2015-06-06T05:06:40.168571Z,6.31,1.8788144788078196
117,280,2015-06-06T08:22:46.164286Z,2.77,1.5079676074460402
118,281,2015-06-06T10:16:46.318571Z,6.24,1.8681491210973828
119,282,2015-06-06T23:49:18.475714Z,2.41,1.164210532872619
120,284,2015-06-07T09:01:00.417143Z,5.2,1.222493485048099
121,286,2015-06-07T17:01:08.281429Z,6.22,2.610466536641077
122,287,2015-06-07T22:07:45.082857Z,6.21,1.5857360071615898
123,289,2015-06-09T04:53:27.115714Z,2.76,1.5617063791991412
124,292,2015-06-10T10:39:07.580000Z,6.37,1.0502343858602716
125,293,2015-06-13T06:31:16.485714Z,3.67,1.0965569894263805
